Nama,Jenis Kelamin,Umur,Status Menikah,Kehadiran (%),Partisipasi Diskusi (skor),Nilai Tugas (rata-rata),Aktivitas E-Learning (skor),IPK,Status Akademik
"Drs. Kemba Sirait, S.Gz",Perempuan,20,Menikah,52,69,69,83,3.13,Lulus
Yosef Usamah,Laki-laki,27,Menikah,93,68,48,99,3.01,Lulus
Yance Andriani,Laki-laki,19,Belum Menikah,52,86,57,67,3.12,Lulus
Dt. Anom Mardhiyah,Laki-laki,20,Menikah,73,57,84,68,3.32,Lulus
"Dt. Baktiadi Usamah, M.M.",Laki-laki,21,Belum Menikah,55,51,79,61,2.5,Lulus
"Kenzie Agustina, S.Kom",Laki-laki,26,Menikah,51,92,93,40,2.92,Lulus
"Drs. Olivia Budiman, S.Pt",Laki-laki,26,Belum Menikah,57,41,70,50,2.67,Tidak
"Ir. Putri Uwais, S.T.",Perempuan,22,Menikah,91,77,70,62,2.3,Lulus
R. Galang Suryatmi,Laki-laki,25,Menikah,49,72,53,75,3.21,Lulus
"Panji Januar, S.Pt",Laki-laki,21,Belum Menikah,94,52,55,51,2.83,Lulus
"Titi Hutapea, S.H.",Perempuan,22,Menikah,80,63,100,69,2.88,Lulus
Cut Chelsea Winarsih,Perempuan,28,Menikah,43,46,94,46,3.57,Lulus
Faizah Mansur,Perempuan,29,Belum Menikah,80,98,49,50,2.91,Lulus
Wulan Najmudin,Laki-laki,20,Menikah,46,61,78,58,3.14,Lulus
"Ir. Lalita Narpati, S.Psi",Laki-laki,25,Menikah,86,42,89,73,3.2,Lulus
Ir. Samiah Anggraini,Perempuan,21,Belum Menikah,72,68,95,95,3.41,Lulus
Ayu Hakim,Laki-laki,30,Belum Menikah,50,64,92,96,3.49,Lulus
Violet Wibowo,Perempuan,29,Menikah,47,90,80,100,3.66,Lulus
Ika Pradipta,Perempuan,25,Belum Menikah,83,65,77,78,3.13,Lulus
"Diah Budiman, S.H.",Laki-laki,27,Menikah,45,49,99,69,2.14,Lulus
"dr. Kiandra Lailasari, S.Pd",Perempuan,30,Menikah,50,84,95,99,3.44,Lulus
Sutan Prima Pangestu,Laki-laki,28,Belum Menikah,68,98,64,51,2.35,Lulus
Xanana Rahayu,Laki-laki,22,Menikah,68,64,45,41,2.01,Tidak
R. Caraka Palastri,Perempuan,26,Belum Menikah,67,87,62,87,3.47,Lulus
Cut Puti Astuti,Perempuan,30,Belum Menikah,40,54,92,64,2.4,Lulus
"Ir. Titin Kuswandari, M.M.",Laki-laki,21,Belum Menikah,90,85,65,94,2.78,Lulus
Laswi Salahudin,Laki-laki,26,Menikah,82,100,100,97,2.91,Lulus
T. Mulya Pradana,Perempuan,28,Menikah,43,42,91,82,2.29,Lulus
Chelsea Andriani,Perempuan,20,Menikah,61,42,86,57,2.11,Tidak
"R. Arta Nurdiyanti, M.Ak",Laki-laki,19,Belum Menikah,96,58,100,56,3.86,Lulus
Yusuf Lestari,Perempuan,22,Belum Menikah,89,98,70,60,3.44,Lulus
"Ganjaran Simbolon, S.I.Kom",Perempuan,28,Belum Menikah,58,74,61,76,2.32,Lulus
Agnes Mangunsong,Perempuan,26,Menikah,43,62,59,51,2.75,Tidak
Ida Samosir,Laki-laki,22,Menikah,74,60,65,83,2.39,Lulus
Drs. Qori Gunawan,Laki-laki,26,Menikah,59,91,83,97,2.11,Lulus
Jono Budiman,Perempuan,30,Belum Menikah,46,90,76,55,2.63,Lulus
Sutan Jati Pertiwi,Laki-laki,27,Belum Menikah,91,50,93,85,2.89,Lulus
Farhunnisa Halimah,Perempuan,28,Belum Menikah,73,61,62,82,2.68,Lulus
Belinda Jailani,Laki-laki,25,Menikah,47,66,84,65,2.34,Lulus
Ellis Sinaga,Perempuan,22,Belum Menikah,70,94,78,48,2.64,Lulus
Dr. Prakosa Habibi,Laki-laki,27,Belum Menikah,71,76,93,66,3.09,Lulus
Ratih Hassanah,Perempuan,27,Belum Menikah,73,67,50,72,2.52,Lulus
Galih Gunawan,Laki-laki,24,Belum Menikah,49,85,62,47,3.32,Lulus
Zulaikha Rahayu,Perempuan,22,Menikah,75,77,56,76,3.54,Lulus
"drg. Ayu Tamba, S.Psi",Perempuan,29,Menikah,74,88,80,87,2.67,Lulus
Sutan Cahyono Hartati,Laki-laki,21,Belum Menikah,51,85,64,45,2.15,Tidak
"Drs. Sadina Setiawan, M.TI.",Perempuan,21,Belum Menikah,59,47,74,75,3.54,Lulus
Nadine Kuswandari,Perempuan,22,Belum Menikah,98,45,96,95,2.66,Lulus
Jindra Nuraini,Laki-laki,25,Menikah,95,94,80,42,2.97,Lulus
Nadine Lazuardi,Perempuan,27,Menikah,83,93,84,48,3.18,Lulus
"Nyana Nasyidah, S.Farm",Laki-laki,23,Belum Menikah,71,40,74,80,3.05,Lulus
"Wulan Dabukke, M.Farm",Laki-laki,30,Menikah,81,42,65,43,3.93,Lulus
Catur Januar,Perempuan,25,Belum Menikah,97,49,44,62,2.08,Lulus
Darmana Pratiwi,Laki-laki,24,Menikah,57,65,56,92,3.82,Lulus
Jane Sudiati,Laki-laki,24,Belum Menikah,88,64,57,86,3.78,Lulus
Fitriani Usada,Perempuan,29,Belum Menikah,91,50,63,79,2.28,Lulus
Bakti Halim,Laki-laki,30,Belum Menikah,81,46,78,67,3.23,Lulus
"Tgk. Raina Prastuti, S.Ked",Perempuan,22,Menikah,89,93,53,81,3.76,Lulus
"Cut Titin Marbun, M.Ak",Perempuan,27,Belum Menikah,59,59,66,40,2.63,Tidak
Laila Riyanti,Laki-laki,23,Menikah,90,66,80,88,3.33,Lulus
"Gina Hidayat, S.Sos",Laki-laki,24,Belum Menikah,89,68,40,73,3.49,Lulus
Unggul Melani,Laki-laki,25,Menikah,48,72,75,42,2.83,Lulus
Nova Situmorang,Perempuan,23,Belum Menikah,67,86,75,49,3.44,Lulus
"Dr. Maya Hutasoit, S.Gz",Perempuan,25,Belum Menikah,61,67,75,49,2.91,Lulus
Betania Tamba,Laki-laki,20,Menikah,47,49,79,89,2.15,Lulus
Rahayu Wahyudin,Perempuan,30,Belum Menikah,61,89,46,56,2.23,Lulus
"Tgk. Tari Prayoga, M.Kom.",Laki-laki,27,Belum Menikah,96,44,42,89,3.97,Lulus
"Galar Marpaung, S.Kom",Laki-laki,26,Belum Menikah,45,80,88,52,2.51,Lulus
Unjani Sitorus,Laki-laki,28,Menikah,100,80,69,89,2.46,Lulus
"Oman Haryanto, S.Pd",Perempuan,25,Menikah,86,64,74,95,3.9,Lulus
Padma Kusmawati,Laki-laki,23,Belum Menikah,60,76,49,45,2.76,Tidak
Soleh Kusmawati,Perempuan,25,Menikah,99,80,57,86,3.83,Lulus
drg. Intan Mandala,Perempuan,29,Belum Menikah,72,72,98,61,2.48,Lulus
Galur Tampubolon,Laki-laki,21,Belum Menikah,61,43,65,81,2.61,Lulus
Ibun Namaga,Perempuan,26,Menikah,88,48,84,81,2.3,Lulus
"Tgk. Ihsan Samosir, M.Ak",Perempuan,27,Belum Menikah,66,91,51,93,3.85,Lulus
"Pandu Kuswandari, S.I.Kom",Laki-laki,30,Belum Menikah,74,92,78,99,2.06,Lulus
"Usyi Wibisono, S.Psi",Perempuan,24,Menikah,79,46,93,97,3.94,Lulus
Zalindra Kusumo,Laki-laki,29,Belum Menikah,53,99,77,92,3.48,Lulus
Siska Maryati,Laki-laki,29,Belum Menikah,42,56,72,73,2.3,Lulus
Galih Kurniawan,Perempuan,24,Belum Menikah,53,63,72,56,2.69,Lulus
Dt. Purwanto Andriani,Laki-laki,26,Menikah,57,71,90,45,3.46,Lulus
Gantar Laksmiwati,Laki-laki,26,Belum Menikah,65,53,88,65,3.56,Lulus
Kamaria Astuti,Laki-laki,23,Belum Menikah,100,77,70,48,3.48,Lulus
Safina Anggraini,Perempuan,25,Menikah,73,44,93,67,2.52,Lulus
Ulya Natsir,Perempuan,24,Belum Menikah,70,93,90,78,3.04,Lulus
Jumari Hutapea,Laki-laki,20,Menikah,85,99,73,87,2.73,Lulus
Gamani Puspasari,Laki-laki,20,Belum Menikah,53,40,63,97,2.67,Lulus
"Endah Manullang, S.Pd",Laki-laki,28,Menikah,81,46,91,96,2.46,Lulus
Raina Permata,Perempuan,20,Menikah,93,73,95,60,3.23,Lulus
Teguh Permata,Perempuan,23,Belum Menikah,72,60,67,41,2.57,Lulus
"Oliva Melani, S.Farm",Laki-laki,19,Belum Menikah,79,92,53,80,2.34,Lulus
Ir. Johan Nainggolan,Perempuan,19,Belum Menikah,97,95,63,49,3.94,Lulus
Vanesa Astuti,Laki-laki,23,Menikah,88,47,71,78,3.15,Lulus
"dr. Janet Aryani, S.Gz",Laki-laki,30,Belum Menikah,82,69,62,70,3.4,Lulus
Drs. Anastasia Halim,Perempuan,29,Belum Menikah,64,45,55,55,2.71,Tidak
T. Yosef Budiman,Perempuan,27,Belum Menikah,55,46,88,71,2.76,Lulus
Akarsana Widiastuti,Perempuan,19,Belum Menikah,86,100,83,42,3.27,Lulus
R. Dewi Safitri,Perempuan,20,Menikah,60,69,93,98,3.43,Lulus
Puti Ina Mandasari,Laki-laki,21,Menikah,87,71,56,57,3.21,Lulus
"Panji Lailasari, S.E.",Perempuan,29,Belum Menikah,90,56,81,41,2.6,Lulus
Jagaraga Safitri,Perempuan,24,Belum Menikah,47,60,99,96,3.94,Lulus
Humaira Habibi,Perempuan,24,Menikah,44,66,83,85,2.63,Lulus
"Ibun Astuti, S.Psi",Laki-laki,22,Menikah,75,88,61,62,2.91,Lulus
"Dr. Tami Nainggolan, S.T.",Laki-laki,25,Belum Menikah,45,47,42,81,3.45,Lulus
Endah Nashiruddin,Perempuan,26,Belum Menikah,56,93,56,58,3.51,Lulus
drg. Mala Mandala,Perempuan,30,Belum Menikah,57,90,90,54,3.16,Lulus
Darmana Hakim,Perempuan,23,Menikah,87,60,42,50,3.01,Lulus
"Bahuwirya Hidayat, S.Pt",Laki-laki,21,Belum Menikah,89,62,80,50,2.23,Lulus
Jaiman Yuliarti,Laki-laki,23,Menikah,54,84,82,65,2.82,Lulus
Devi Mustofa,Laki-laki,20,Belum Menikah,54,90,53,88,2.35,Lulus
Clara Wahyuni,Perempuan,22,Belum Menikah,94,100,47,98,3.98,Lulus
"Rahayu Hastuti, S.Pd",Perempuan,30,Menikah,67,93,85,51,2.83,Lulus
Praba Rajata,Perempuan,29,Menikah,47,87,67,53,3.35,Lulus
Kenes Budiyanto,Laki-laki,21,Belum Menikah,91,67,75,51,2.38,Lulus
"Ir. Chelsea Saragih, M.Ak",Perempuan,25,Menikah,87,68,52,49,2.45,Lulus
Rahmi Marbun,Perempuan,30,Menikah,75,83,90,77,3.02,Lulus
Najwa Mandasari,Laki-laki,22,Belum Menikah,69,61,51,97,3.89,Lulus
Danu Napitupulu,Perempuan,26,Menikah,47,68,99,78,2.82,Lulus
Wisnu Astuti,Perempuan,24,Belum Menikah,57,70,81,47,3.08,Lulus
Mustofa Firmansyah,Laki-laki,26,Belum Menikah,92,84,51,79,2.17,Lulus
Zaenab Budiyanto,Perempuan,21,Menikah,75,48,71,58,2.81,Lulus
Aslijan Setiawan,Perempuan,21,Menikah,55,54,100,68,2.55,Lulus
Radit Januar,Laki-laki,29,Menikah,68,82,90,70,2.64,Lulus
"Ir. Halim Handayani, S.T.",Laki-laki,19,Belum Menikah,46,65,97,41,3.72,Lulus
drg. Bahuraksa Yulianti,Laki-laki,21,Menikah,77,90,83,58,3.81,Lulus
Rahmat Dabukke,Laki-laki,28,Menikah,83,74,54,97,3.04,Lulus
drg. Kasiyah Natsir,Perempuan,29,Menikah,80,44,43,100,2.28,Lulus
"Ophelia Hidayat, M.TI.",Perempuan,29,Menikah,72,44,43,81,3.43,Lulus
Kambali Saefullah,Perempuan,20,Menikah,95,43,74,100,3.46,Lulus
"Elisa Lestari, S.E.",Laki-laki,30,Menikah,55,48,49,88,3.61,Lulus
Lanang Hidayat,Perempuan,20,Belum Menikah,42,91,91,72,3,Lulus
Tedi Safitri,Perempuan,24,Menikah,88,59,97,56,3.13,Lulus
"Cut Halima Farida, M.Pd",Laki-laki,28,Belum Menikah,74,70,63,50,2.33,Lulus
Drs. Respati Agustina,Laki-laki,28,Belum Menikah,59,96,68,42,3.28,Lulus
Estiawan Maryadi,Perempuan,20,Menikah,73,85,98,83,2.41,Lulus
"Tgk. Rini Novitasari, S.Sos",Laki-laki,28,Menikah,56,87,43,82,2.66,Lulus
Mahesa Widiastuti,Laki-laki,29,Belum Menikah,100,87,71,58,3.15,Lulus
"Cahyanto Sirait, S.Ked",Laki-laki,24,Belum Menikah,92,47,40,55,3.03,Lulus
Uchita Pratiwi,Laki-laki,22,Menikah,46,92,97,60,2.47,Lulus
"R. Cemplunk Prasetya, S.H.",Laki-laki,28,Menikah,69,59,41,51,2.65,Tidak
Raharja Nasyidah,Perempuan,19,Belum Menikah,64,68,63,57,3.12,Lulus
Baktiadi Irawan,Laki-laki,25,Belum Menikah,61,73,47,71,3.95,Lulus
"Kairav Iswahyudi, S.IP",Perempuan,22,Menikah,54,56,81,84,2.89,Lulus
"Vinsen Suryatmi, S.Psi",Laki-laki,20,Menikah,57,61,65,98,3.55,Lulus
Dr. Vanesa Najmudin,Laki-laki,22,Belum Menikah,53,61,69,47,2.57,Tidak
Ade Januar,Perempuan,22,Belum Menikah,41,54,90,69,2.13,Lulus
Jaswadi Yuliarti,Laki-laki,21,Belum Menikah,46,53,70,65,2.7,Lulus
Tina Hakim,Perempuan,20,Menikah,76,49,70,40,2.13,Tidak
Vera Mustofa,Laki-laki,24,Belum Menikah,88,43,40,88,2.1,Lulus
"drg. Sidiq Zulkarnain, S.Gz",Laki-laki,28,Menikah,100,59,98,72,2.37,Lulus
Lukita Rajasa,Perempuan,30,Belum Menikah,66,72,59,86,2.95,Lulus
"Olga Napitupulu, S.Ked",Perempuan,30,Menikah,72,58,69,40,3.21,Lulus
KH. Limar Firmansyah,Laki-laki,21,Menikah,60,42,58,94,3.5,Lulus
"Tgk. Luis Marpaung, S.E.I",Laki-laki,19,Menikah,52,93,89,93,3.75,Lulus
Mutia Siregar,Perempuan,25,Belum Menikah,92,86,67,98,2.54,Lulus
Vivi Prayoga,Laki-laki,25,Belum Menikah,73,53,40,58,3.51,Lulus
Ian Suryono,Perempuan,28,Belum Menikah,97,85,70,88,3.81,Lulus
KH. Reza Zulkarnain,Laki-laki,28,Menikah,82,100,97,67,2.89,Lulus
"Enteng Rahimah, M.TI.",Laki-laki,29,Menikah,99,68,72,92,2.63,Lulus
Dirja Siregar,Laki-laki,25,Belum Menikah,41,54,51,49,3.68,Tidak
Empluk Winarsih,Laki-laki,26,Belum Menikah,69,52,71,66,2.59,Lulus
Jelita Haryanti,Perempuan,20,Belum Menikah,65,88,72,78,2.64,Lulus
"Hj. Rachel Padmasari, S.Pt",Perempuan,22,Menikah,55,94,70,40,3.22,Lulus
"Rahayu Tarihoran, S.Sos",Laki-laki,30,Menikah,66,91,72,61,2.44,Lulus
Dimaz Nuraini,Laki-laki,28,Menikah,85,83,95,67,2.92,Lulus
Wawan Najmudin,Laki-laki,26,Menikah,99,52,45,90,2.17,Lulus
Kasim Saputra,Laki-laki,27,Belum Menikah,91,66,84,45,3.08,Lulus
Hartana Dongoran,Laki-laki,20,Belum Menikah,91,70,74,89,3.09,Lulus
"R. Narji Winarsih, S.Kom",Laki-laki,24,Belum Menikah,44,62,83,75,3.87,Lulus
"dr. Emin Usada, S.Pt",Laki-laki,29,Menikah,91,47,98,81,3.75,Lulus
"Ir. Wasis Suwarno, M.Pd",Laki-laki,26,Belum Menikah,81,50,45,61,2.04,Tidak
Embuh Dabukke,Perempuan,20,Belum Menikah,90,66,40,70,2.34,Lulus
Langgeng Hutagalung,Perempuan,27,Menikah,48,54,93,94,2.88,Lulus
Dr. Tantri Saputra,Perempuan,29,Menikah,88,75,41,42,2.71,Lulus
Karen Jailani,Perempuan,21,Menikah,46,92,61,86,3.92,Lulus
Dr. Dariati Nugroho,Laki-laki,27,Belum Menikah,86,68,43,90,2.84,Lulus
"Dr. Putri Saragih, S.Psi",Laki-laki,20,Belum Menikah,75,97,84,66,3.62,Lulus
Kasiran Puspasari,Laki-laki,25,Menikah,73,72,93,47,3.75,Lulus
"Harsanto Melani, M.M.",Perempuan,23,Menikah,67,50,88,46,3.8,Lulus
Jessica Hariyah,Perempuan,22,Belum Menikah,70,50,94,85,3.72,Lulus
dr. Karsa Widodo,Laki-laki,20,Menikah,43,98,100,65,3.62,Lulus
Raden Andriani,Laki-laki,24,Menikah,43,95,56,44,2.3,Tidak
Dian Halimah,Perempuan,22,Belum Menikah,44,53,44,78,3.61,Lulus
"Kambali Sirait, S.H.",Perempuan,24,Menikah,46,50,49,68,3.48,Lulus
"Ghaliyati Saragih, S.IP",Laki-laki,30,Menikah,45,78,63,78,3.91,Lulus
Ir. Cakrawangsa Yulianti,Laki-laki,28,Menikah,61,56,52,79,3.49,Lulus
Sutan Cahya Prastuti,Perempuan,26,Belum Menikah,88,89,45,58,3,Lulus
"Sutan Koko Wahyudin, S.T.",Perempuan,29,Menikah,44,94,52,100,3.13,Lulus
Qori Dongoran,Laki-laki,22,Menikah,70,96,62,64,3.07,Lulus
Raden Laksita,Perempuan,29,Menikah,68,86,74,81,3.44,Lulus
Citra Dabukke,Perempuan,25,Belum Menikah,97,97,42,51,2.27,Lulus
Cindy Wahyuni,Laki-laki,30,Menikah,67,67,62,93,3.29,Lulus
"Tgk. Hana Hutasoit, S.IP",Laki-laki,27,Belum Menikah,95,87,79,46,3.06,Lulus
Waluyo Firmansyah,Laki-laki,20,Belum Menikah,61,63,51,76,3.66,Lulus
Eva Purnawati,Perempuan,27,Belum Menikah,42,87,78,78,2.33,Lulus
Zahra Mahendra,Perempuan,21,Belum Menikah,94,64,100,95,3.86,Lulus
"Drs. Victoria Budiman, M.TI.",Perempuan,19,Belum Menikah,77,61,70,81,2.93,Lulus
Ami Hakim,Laki-laki,21,Belum Menikah,51,55,88,97,2.27,Lulus
Nurul Firgantoro,Laki-laki,21,Belum Menikah,78,58,43,72,2.71,Lulus
Sabar Narpati,Perempuan,22,Belum Menikah,68,89,98,94,2.18,Lulus
R. Hilda Padmasari,Laki-laki,27,Belum Menikah,51,49,70,60,3.14,Lulus
Elma Januar,Perempuan,27,Menikah,46,66,65,91,2.85,Lulus
"Ir. Edison Rahimah, S.Farm",Perempuan,27,Menikah,97,55,54,88,2.76,Lulus
Kunthara Sudiati,Perempuan,19,Menikah,42,88,83,80,3.38,Lulus
Jati Prasetyo,Laki-laki,30,Menikah,72,91,86,78,2.26,Lulus
"Sutan Prayoga Riyanti, M.Ak",Laki-laki,21,Belum Menikah,79,84,91,56,3.28,Lulus
Saiful Hutasoit,Perempuan,29,Menikah,49,93,65,96,2.28,Lulus
Cindy Handayani,Perempuan,20,Belum Menikah,68,43,41,73,3.05,Lulus
Jaka Wahyuni,Perempuan,21,Menikah,86,75,79,40,3.58,Lulus
Mulyanto Saptono,Perempuan,23,Belum Menikah,89,63,95,81,2.68,Lulus
Bakianto Puspasari,Laki-laki,29,Menikah,76,73,83,77,3,Lulus
R.M. Wahyu Gunawan,Laki-laki,25,Menikah,94,70,55,55,2.18,Lulus
Dewi Nurdiyanti,Laki-laki,24,Menikah,41,86,86,78,3.64,Lulus
Irma Farida,Perempuan,20,Belum Menikah,66,91,54,79,2.18,Lulus
Lala Hutagalung,Laki-laki,29,Belum Menikah,82,56,84,86,3.7,Lulus
"Tgk. Hani Situmorang, M.Ak",Laki-laki,26,Belum Menikah,47,96,81,90,2.01,Lulus
"Catur Purwanti, M.Pd",Laki-laki,22,Menikah,92,78,93,65,2.54,Lulus
H. Atma Firgantoro,Perempuan,23,Menikah,86,71,85,47,2.86,Lulus
"R.M. Jumadi Palastri, M.TI.",Perempuan,20,Belum Menikah,63,81,97,40,3.19,Lulus
Patricia Hidayanto,Perempuan,28,Belum Menikah,80,65,88,61,3.81,Lulus
"Karimah Usada, S.IP",Perempuan,21,Belum Menikah,40,46,69,77,3.86,Lulus
Saiful Dabukke,Laki-laki,30,Menikah,88,97,84,51,2.71,Lulus
"KH. Embuh Megantara, S.T.",Perempuan,21,Menikah,71,100,54,85,3.93,Lulus
drg. Betania Hartati,Perempuan,26,Belum Menikah,100,94,56,62,2.98,Lulus
"Eka Saputra, S.Ked",Laki-laki,21,Belum Menikah,72,65,92,91,3.03,Lulus
Catur Sinaga,Laki-laki,21,Belum Menikah,96,57,69,83,2.89,Lulus
"Mutia Zulaika, S.I.Kom",Laki-laki,22,Belum Menikah,77,88,73,42,3.48,Lulus
Salimah Salahudin,Laki-laki,19,Belum Menikah,60,82,48,79,2.39,Lulus
"T. Darmaji Salahudin, S.IP",Laki-laki,24,Menikah,64,43,64,40,3.29,Tidak
Cemeti Suwarno,Laki-laki,29,Menikah,76,53,67,76,2.05,Lulus
Prakosa Maryadi,Perempuan,26,Belum Menikah,43,94,52,42,3.33,Lulus
R. Lembah Pratama,Laki-laki,21,Belum Menikah,94,67,59,80,2.67,Lulus
Raharja Puspasari,Perempuan,24,Belum Menikah,90,41,42,76,2.03,Tidak
"Zaenab Jailani, S.H.",Perempuan,23,Belum Menikah,63,74,43,90,3.16,Lulus
Winda Sihotang,Laki-laki,19,Belum Menikah,95,60,51,78,2.53,Lulus
"Jelita Aryani, S.Gz",Perempuan,22,Menikah,70,96,65,44,2.81,Lulus
"Tgk. Yahya Zulkarnain, S.Sos",Laki-laki,20,Belum Menikah,53,85,67,51,2.07,Lulus
Nova Sirait,Perempuan,24,Belum Menikah,62,82,81,87,3.13,Lulus
"R. Yono Pradipta, S.H.",Laki-laki,28,Belum Menikah,64,61,41,75,2.09,Tidak
R.M. Opung Kusumo,Perempuan,25,Belum Menikah,45,88,50,66,3,Lulus
Sutan Jaswadi Megantara,Perempuan,23,Belum Menikah,75,84,42,46,3.11,Lulus
Lintang Sudiati,Laki-laki,27,Belum Menikah,71,45,64,56,2.37,Tidak
Perkasa Simanjuntak,Perempuan,23,Belum Menikah,98,56,77,73,3.74,Lulus
Ulva Pratama,Laki-laki,28,Belum Menikah,87,67,90,94,2.63,Lulus
Gandi Prayoga,Laki-laki,25,Menikah,83,60,65,74,2.82,Lulus
Malika Haryanti,Perempuan,26,Menikah,45,74,64,57,3.14,Lulus
Ir. Laras Sihombing,Laki-laki,26,Menikah,50,81,55,82,3.89,Lulus
Anita Rajata,Perempuan,19,Menikah,96,97,77,60,3.05,Lulus
"dr. Shakila Irawan, S.Psi",Perempuan,23,Belum Menikah,63,45,54,97,2.11,Lulus
Anita Mustofa,Perempuan,21,Belum Menikah,76,49,60,60,3.29,Lulus
"Safina Suwarno, S.Kom",Perempuan,25,Menikah,61,67,64,45,2.01,Tidak
Titi Kusumo,Laki-laki,27,Menikah,98,87,62,62,3.72,Lulus
"drg. Gilang Maryadi, M.Kom.",Perempuan,21,Belum Menikah,51,50,89,77,2.79,Lulus
Kurnia Kusumo,Perempuan,24,Belum Menikah,64,89,48,72,2.17,Lulus
"Sutan Hamzah Winarsih, S.Pd",Laki-laki,24,Menikah,91,49,56,93,3.04,Lulus
Hj. Devi Wulandari,Perempuan,26,Menikah,69,98,50,45,3.17,Lulus
"Abyasa Napitupulu, S.T.",Perempuan,20,Belum Menikah,59,55,40,82,2.49,Tidak
Raisa Zulaika,Laki-laki,23,Belum Menikah,50,86,76,89,2.7,Lulus
Ifa Hastuti,Laki-laki,30,Menikah,49,42,58,95,2.64,Lulus
Adikara Laksmiwati,Laki-laki,20,Menikah,97,69,68,97,2.1,Lulus
"drg. Pangeran Nashiruddin, M.Farm",Perempuan,20,Belum Menikah,74,61,87,51,2.7,Lulus
Zelda Wahyuni,Perempuan,26,Belum Menikah,47,71,48,96,3.62,Lulus
Paulin Prastuti,Laki-laki,26,Belum Menikah,74,76,82,82,3.47,Lulus
Ophelia Purwanti,Perempuan,30,Menikah,46,81,99,86,3.34,Lulus
Alika Usada,Perempuan,30,Menikah,80,48,52,90,3.35,Lulus
Titin Saefullah,Perempuan,24,Belum Menikah,88,57,52,88,3.94,Lulus
"Lukita Damanik, M.TI.",Perempuan,19,Menikah,45,42,50,73,3.18,Tidak
Dr. Mutia Simbolon,Perempuan,27,Menikah,49,88,68,50,2.44,Lulus
"Bakti Damanik, S.Pt",Perempuan,24,Menikah,64,93,50,72,3.49,Lulus
Dr. Candrakanta Suartini,Laki-laki,30,Menikah,98,96,60,41,3.33,Lulus
"R.M. Danuja Padmasari, S.E.",Laki-laki,27,Menikah,45,91,56,65,2.56,Lulus
"Ivan Ardianto, S.Farm",Perempuan,22,Belum Menikah,47,95,73,77,2.24,Lulus
Septi Haryanti,Laki-laki,21,Menikah,56,77,86,46,3.53,Lulus
R.M. Galang Nababan,Laki-laki,23,Belum Menikah,97,48,62,57,3.03,Lulus
Daliono Hastuti,Laki-laki,19,Belum Menikah,55,61,72,81,2.56,Lulus
Dt. Opung Sinaga,Laki-laki,26,Menikah,47,50,59,100,2.16,Lulus
drg. Darmaji Palastri,Perempuan,28,Belum Menikah,55,79,51,60,3.95,Lulus
Jefri Hidayanto,Laki-laki,24,Belum Menikah,78,61,57,89,2.19,Lulus
Kurnia Rahmawati,Laki-laki,20,Belum Menikah,83,64,57,94,3.6,Lulus
Rahman Gunarto,Perempuan,19,Menikah,100,94,98,93,3.59,Lulus
"H. Cahyono Latupono, S.E.I",Laki-laki,21,Menikah,100,76,40,64,3.31,Lulus
Halima Manullang,Perempuan,21,Belum Menikah,68,62,54,80,2.93,Lulus
Cakrabuana Waskita,Perempuan,21,Menikah,97,52,47,61,2.8,Lulus
Dt. Cagak Palastri,Perempuan,22,Belum Menikah,57,74,41,97,3.11,Lulus
Hj. Vicky Anggriawan,Perempuan,26,Menikah,68,83,46,54,3.23,Lulus
"T. Ghani Sirait, S.Sos",Perempuan,22,Belum Menikah,82,78,74,92,3.45,Lulus
"Irsad Astuti, M.TI.",Laki-laki,27,Belum Menikah,77,58,93,53,2.52,Lulus
Ulya Ardianto,Perempuan,21,Menikah,76,77,81,64,2.92,Lulus
"Faizah Sihotang, M.M.",Perempuan,27,Belum Menikah,100,50,63,85,3.89,Lulus
Patricia Natsir,Laki-laki,19,Menikah,85,93,57,49,3.23,Lulus
Unjani Pangestu,Perempuan,20,Menikah,94,81,42,53,3.15,Lulus
Rini Prasasta,Laki-laki,28,Menikah,49,68,65,76,3.86,Lulus
Tania Siregar,Perempuan,30,Menikah,68,46,92,77,2.31,Lulus
Belinda Mangunsong,Perempuan,28,Belum Menikah,46,46,46,53,2.07,Tidak
Genta Handayani,Laki-laki,20,Belum Menikah,95,78,86,66,3.59,Lulus
Dt. Dasa Nugroho,Laki-laki,25,Menikah,40,58,84,85,2.28,Lulus
Maman Winarsih,Laki-laki,25,Menikah,45,90,80,40,3.54,Lulus
"Waluyo Simbolon, M.TI.",Laki-laki,19,Belum Menikah,91,66,48,40,2.66,Lulus
"Ulva Narpati, M.TI.",Laki-laki,19,Belum Menikah,88,81,87,57,3.53,Lulus
Faizah Pradana,Perempuan,25,Belum Menikah,92,55,65,56,2.39,Lulus
dr. Hamima Wahyuni,Perempuan,28,Belum Menikah,40,94,86,90,3.26,Lulus
"Ir. Galih Simanjuntak, M.Pd",Laki-laki,23,Belum Menikah,65,56,68,72,3.68,Lulus
Uli Permata,Perempuan,20,Belum Menikah,41,66,63,58,3.06,Lulus
Hartaka Kusmawati,Perempuan,20,Menikah,51,80,71,42,3.09,Lulus
"dr. Betania Mandasari, S.H.",Perempuan,24,Menikah,79,68,40,47,2.18,Tidak
Ani Maryati,Perempuan,19,Menikah,68,70,93,70,3.43,Lulus
Vinsen Manullang,Laki-laki,21,Menikah,88,96,82,54,2.43,Lulus
Agus Adriansyah,Perempuan,29,Belum Menikah,79,80,79,98,2.18,Lulus
